specification,record,subject_id,lead,tau_s,baseline_cv_r2
stb_expanded_grid,s20151,s2015,1,20.0,-0.0973217713916888
stb_expanded_grid,s20161,s2016,0,90.0,-0.1482154471139934
stb_expanded_grid,s20161,s2016,1,180.0,0.0805771117458449
stb_expanded_grid,s20171,s2017,0,5.0,0.3336885724162702
stb_expanded_grid,s20171,s2017,1,5.0,0.4956159123893819
stb_expanded_grid,s20181,s2018,1,45.0,0.5349391237523966
stb_expanded_grid,s20191,s2019,0,5.0,0.090031382652963
stb_expanded_grid,s20191,s2019,1,5.0,0.2436147336913656
stb_expanded_grid,s20201,s2020,0,45.0,0.4259539818898433
stb_expanded_grid,s20211,s2021,0,30.0,0.5459181055013815
stb_expanded_grid,s20211,s2021,1,30.0,0.6173022082310717
stb_expanded_grid,s20221,s2022,0,150.0,-0.4652213247592415
stb_expanded_grid,s20231,s2023,0,15.0,0.576830168421451
stb_expanded_grid,s20231,s2023,1,20.0,0.720800947758881
stb_expanded_grid,s20241,s2024,0,45.0,0.4920950987834307
stb_expanded_grid,s20241,s2024,1,15.0,0.5144003816153973
stb_expanded_grid,s20251,s2025,1,45.0,0.6440212614028384
stb_expanded_grid,s20261,s2026,0,5.0,-0.1338994639236773
stb_expanded_grid,s20261,s2026,1,5.0,-0.0713018590313206
stb_expanded_grid,s20271,s2027,0,60.0,0.5418240471403133
stb_expanded_grid,s20271,s2027,1,60.0,0.5641666090564323
stb_expanded_grid,s20272,s2027,0,45.0,0.4863271739674973
stb_expanded_grid,s20272,s2027,1,60.0,0.4519033384621144
stb_expanded_grid,s20273,s2027,0,10.0,0.5049930143035585
stb_expanded_grid,s20273,s2027,1,30.0,0.5844716819688559
stb_expanded_grid,s20274,s2027,0,45.0,0.4927669507977474
stb_expanded_grid,s20274,s2027,1,60.0,0.507019245507703
stb_expanded_grid,s20291,s2029,0,5.0,0.0354274502312675
stb_expanded_grid,s20291,s2029,1,5.0,-0.2175088029088459
stb_expanded_grid,s20301,s2030,0,5.0,-0.0286935845039037
stb_expanded_grid,s20311,s2031,0,5.0,0.3055128978780822
stb_expanded_grid,s20311,s2031,1,5.0,0.0917444620523912
stb_expanded_grid,s20331,s2033,0,5.0,-2.450091734081828
stb_expanded_grid,s20341,s2034,0,5.0,-0.288066190954284
stb_expanded_grid,s20351,s2035,0,30.0,0.109307489969579
stb_expanded_grid,s20351,s2035,1,20.0,0.1637378364909217
stb_expanded_grid,s20361,s2036,0,5.0,0.4384231063492808
stb_expanded_grid,s20361,s2036,1,30.0,0.4996047913411261
stb_expanded_grid,s20371,s2037,0,45.0,0.5302567432568188
stb_expanded_grid,s20371,s2037,1,5.0,0.6765002203074205
stb_expanded_grid,s20381,s2038,0,5.0,-0.5289257802727867
stb_expanded_grid,s20381,s2038,1,5.0,-0.407553312225335
stb_expanded_grid,s20391,s2039,0,30.0,0.2335425967006753
stb_expanded_grid,s20391,s2039,1,15.0,0.2026218326851835
stb_expanded_grid,s20401,s2040,0,60.0,0.3453797627597144
stb_expanded_grid,s20401,s2040,1,90.0,0.3325845677973151
stb_expanded_grid,s20411,s2041,0,5.0,0.0219329759664165
stb_expanded_grid,s20411,s2041,1,600.0,0.0379239091355792
stb_expanded_grid,s20421,s2042,1,90.0,0.2330207032990387
stb_expanded_grid,s20431,s2043,0,20.0,0.7171739944512272
stb_expanded_grid,s20431,s2043,1,20.0,0.6275811644769465
stb_expanded_grid,s20441,s2044,0,45.0,0.0407219698544588
stb_expanded_grid,s20441,s2044,1,5.0,0.0876124748329157
stb_expanded_grid,s20451,s2045,0,15.0,0.3460099567339202
stb_expanded_grid,s20451,s2045,1,15.0,0.3940613388153696
stb_expanded_grid,s20461,s2046,0,90.0,-0.5542881587213423
stb_expanded_grid,s20461,s2046,1,5.0,-0.0512503827004879
stb_expanded_grid,s20471,s2047,1,5.0,0.3019628221755272
stb_expanded_grid,s20481,s2048,0,45.0,0.0074292054601118
stb_expanded_grid,s20491,s2049,0,45.0,0.3553927175159072
stb_expanded_grid,s20511,s2051,0,5.0,-0.2001241242209676
stb_expanded_grid,s20511,s2051,1,5.0,-0.1572915137986029
stb_expanded_grid,s20521,s2052,0,5.0,0.086418620751306
stb_expanded_grid,s20541,s2054,0,15.0,0.5431052983842057
stb_expanded_grid,s20541,s2054,1,30.0,0.2733060660341909
stb_expanded_grid,s20551,s2055,0,5.0,0.042367780301343
stb_expanded_grid,s20551,s2055,1,5.0,-0.0632485563330776
stb_expanded_grid,s20561,s2056,0,5.0,-0.0743635290192339
stb_expanded_grid,s20571,s2057,0,10.0,-1.2191506079694157
stb_expanded_grid,s20581,s2058,0,5.0,0.605241596008798
stb_expanded_grid,s20591,s2059,0,45.0,0.1352349619674163
stb_expanded_grid,s20601,s2060,1,5.0,0.0868657979405996
stb_expanded_grid,s20611,s2061,1,5.0,0.3914782550505415
stb_expanded_grid,s20621,s2062,0,5.0,-0.2404460734444894
stb_expanded_grid,s20621,s2062,1,5.0,-0.1328049065974845
stb_expanded_grid,s20631,s2063,0,5.0,0.5671532721144412
stb_expanded_grid,s20641,s2064,0,45.0,0.4807250151518447
stb_expanded_grid,s20641,s2064,1,30.0,0.4479196883244869
stb_expanded_grid,s20651,s2065,0,5.0,-0.4892842177441812
stb_expanded_grid,s30661,s3066,0,5.0,-0.6752230242993935
stb_expanded_grid,s30661,s3066,1,5.0,-0.5710645611949231
stb_expanded_grid,s30661,s3066,2,5.0,-0.4263481185995815
stb_expanded_grid,s30671,s3067,0,5.0,-0.1295269661771792
stb_expanded_grid,s30671,s3067,1,5.0,-0.1817012823104506
stb_expanded_grid,s30681,s3068,0,30.0,0.419014797618753
stb_expanded_grid,s30681,s3068,1,20.0,0.2261651940728059
stb_expanded_grid,s30681,s3068,2,30.0,0.2235983552601125
stb_expanded_grid,s30691,s3069,1,45.0,-0.0210070814505294
stb_expanded_grid,s30691,s3069,2,30.0,0.2294062475523449
stb_expanded_grid,s30701,s3070,1,45.0,0.5711471019486809
stb_expanded_grid,s30701,s3070,2,45.0,0.6388483123444576
stb_expanded_grid,s30711,s3071,0,600.0,-0.025853609075592
stb_expanded_grid,s30711,s3071,1,20.0,0.1885203673218378
stb_expanded_grid,s30711,s3071,2,60.0,0.1144253808708443
stb_expanded_grid,s30721,s3072,0,30.0,-0.2915949941562141
stb_expanded_grid,s30721,s3072,1,30.0,-0.199162160254075
stb_expanded_grid,s30731,s3073,1,5.0,0.6138153186167227
stb_expanded_grid,s30731,s3073,2,5.0,0.564800780430685
stb_expanded_grid,s30732,s3073,1,30.0,0.4052711478402109
stb_expanded_grid,s30732,s3073,2,30.0,0.2490771507700624
stb_expanded_grid,s30741,s3074,0,15.0,0.3514852785545014
stb_expanded_grid,s30741,s3074,1,5.0,0.4324635586562113
stb_expanded_grid,s30741,s3074,2,5.0,0.287107603219137
stb_expanded_grid,s30742,s3074,0,5.0,0.2842403465855708
stb_expanded_grid,s30742,s3074,1,5.0,0.3795680994169536
stb_expanded_grid,s30742,s3074,2,5.0,0.2414365885096126
stb_expanded_grid,s30751,s3075,0,60.0,0.3997226371038972
stb_expanded_grid,s30751,s3075,1,60.0,0.0554959716130631
stb_expanded_grid,s30751,s3075,2,60.0,0.1956741088927485
stb_expanded_grid,s30761,s3076,1,120.0,0.1831783701023061
stb_expanded_grid,s30761,s3076,2,60.0,-0.0742938897196155
stb_expanded_grid,s30771,s3077,1,600.0,-0.7942489219209747
stb_expanded_grid,s30771,s3077,2,600.0,-0.8873736001886705
stb_expanded_grid,s30781,s3078,0,5.0,-0.4567486013773688
stb_expanded_grid,s30781,s3078,1,5.0,0.2135590694615214
stb_expanded_grid,s30791,s3079,1,150.0,0.2775551322403934
stb_expanded_grid,s30791,s3079,2,90.0,0.4789074605815052
stb_expanded_grid,s30801,s3080,2,30.0,-0.0151031530048298
stb_fixed_120s,s20011,s2001,0,120.0,
stb_fixed_120s,s20011,s2001,1,120.0,
stb_fixed_120s,s20031,s2003,0,120.0,
stb_fixed_120s,s20031,s2003,1,120.0,
stb_fixed_120s,s20041,s2004,0,120.0,
stb_fixed_120s,s20041,s2004,1,120.0,
stb_fixed_120s,s20061,s2006,0,120.0,
stb_fixed_120s,s20071,s2007,0,120.0,
stb_fixed_120s,s20071,s2007,1,120.0,
stb_fixed_120s,s20081,s2008,0,120.0,
stb_fixed_120s,s20081,s2008,1,120.0,
stb_fixed_120s,s20091,s2009,0,120.0,
stb_fixed_120s,s20091,s2009,1,120.0,
stb_fixed_120s,s20101,s2010,0,120.0,
stb_fixed_120s,s20101,s2010,1,120.0,
stb_fixed_120s,s20111,s2011,0,120.0,
stb_fixed_120s,s20121,s2012,0,120.0,
stb_fixed_120s,s20131,s2013,0,120.0,
stb_fixed_120s,s20141,s2014,0,120.0,
stb_fixed_120s,s20141,s2014,1,120.0,
stb_fixed_120s,s20151,s2015,0,120.0,
stb_fixed_120s,s20151,s2015,1,120.0,
stb_fixed_120s,s20161,s2016,0,120.0,
stb_fixed_120s,s20161,s2016,1,120.0,
stb_fixed_120s,s20171,s2017,0,120.0,
stb_fixed_120s,s20181,s2018,1,120.0,
stb_fixed_120s,s20191,s2019,0,120.0,
